Id,start_time,end_time,stage,score
9,2022-11-04 02:44,2022-11-04 02:45,REM,77
9,2022-11-04 02:45,2022-11-04 02:46,Awake,77
9,2022-11-04 02:46,2022-11-04 02:48,Light,77
9,2022-11-04 02:48,2022-11-04 03:00,REM,77
9,2022-11-04 03:00,2022-11-04 03:06,Light,77
9,2022-11-04 03:06,2022-11-04 03:07,REM,77
9,2022-11-04 03:07,2022-11-04 03:16,Light,77
9,2022-11-04 03:16,2022-11-04 03:17,Awake,77
9,2022-11-04 03:17,2022-11-04 03:30,Light,77
9,2022-11-04 03:30,2022-11-04 03:31,Awake,77
9,2022-11-04 03:31,2022-11-04 03:45,Light,77
9,2022-11-04 03:45,2022-11-04 04:26,REM,77
9,2022-11-04 04:26,2022-11-04 04:41,Light,77
9,2022-11-04 04:41,2022-11-04 04:42,Awake,77
9,2022-11-04 04:42,2022-11-04 05:18,Light,77
9,2022-11-04 05:18,2022-11-04 05:22,Deep,77
9,2022-11-04 05:22,2022-11-04 05:24,Awake,77
9,2022-11-04 05:24,2022-11-04 05:30,Light,77
9,2022-11-04 05:30,2022-11-04 05:44,REM,77
9,2022-11-04 05:44,2022-11-04 05:45,Awake,77
9,2022-11-04 05:45,2022-11-04 05:50,REM,77
9,2022-11-04 05:50,2022-11-04 05:52,Light,77
9,2022-11-04 05:52,2022-11-04 05:53,REM,77
9,2022-11-04 05:53,2022-11-04 06:08,Light,77
9,2022-11-04 06:08,2022-11-04 06:09,Awake,77
9,2022-11-04 06:09,2022-11-04 06:37,Light,77
9,2022-11-04 06:37,2022-11-04 06:38,Awake,77
9,2022-11-04 06:38,2022-11-04 06:54,Light,77
9,2022-11-04 06:54,2022-11-04 06:55,REM,77
9,2022-11-04 06:55,2022-11-04 06:56,Awake,77
9,2022-11-04 06:56,2022-11-04 06:59,Light,77
9,2022-11-04 06:59,2022-11-04 07:17,REM,77
9,2022-11-04 07:17,2022-11-04 07:18,Awake,77
9,2022-11-04 07:18,2022-11-04 07:20,REM,77
9,2022-11-04 07:20,2022-11-04 07:23,Awake,77
9,2022-11-04 07:23,2022-11-04 07:31,REM,77
9,2022-11-04 07:31,2022-11-04 07:32,Awake,77
9,2022-11-04 07:32,2022-11-04 07:54,Light,77
9,2022-11-04 07:54,2022-11-04 08:05,Awake,77
10,2022-11-05 02:08,2022-11-05 02:33,Light,71
10,2022-11-05 02:33,2022-11-05 02:42,Deep,71
10,2022-11-05 02:42,2022-11-05 02:50,Light,71
10,2022-11-05 02:50,2022-11-05 03:15,Deep,71
10,2022-11-05 03:15,2022-11-05 03:16,Awake,71
10,2022-11-05 03:16,2022-11-05 03:27,Light,71
10,2022-11-05 03:27,2022-11-05 03:28,Awake,71
10,2022-11-05 03:28,2022-11-05 03:39,Light,71
10,2022-11-05 03:39,2022-11-05 03:40,REM,71
10,2022-11-05 03:40,2022-11-05 04:13,Light,71
10,2022-11-05 04:13,2022-11-05 04:50,Deep,71
10,2022-11-05 04:50,2022-11-05 04:51,Awake,71
10,2022-11-05 04:51,2022-11-05 04:59,Light,71
10,2022-11-05 04:59,2022-11-05 05:10,REM,71
10,2022-11-05 05:10,2022-11-05 05:23,Light,71
10,2022-11-05 05:23,2022-11-05 05:25,Awake,71
10,2022-11-05 05:25,2022-11-05 05:30,Light,71
10,2022-11-05 05:30,2022-11-05 06:24,REM,71
10,2022-11-05 06:24,2022-11-05 06:25,Awake,71
10,2022-11-05 06:25,2022-11-05 06:30,REM,71
10,2022-11-05 06:30,2022-11-05 06:35,Light,71
10,2022-11-05 06:35,2022-11-05 06:41,REM,71
10,2022-11-05 06:41,2022-11-05 06:42,Awake,71
10,2022-11-05 06:42,2022-11-05 06:55,Light,71
10,2022-11-05 06:55,2022-11-05 06:56,Awake,71
10,2022-11-05 06:56,2022-11-05 07:50,Light,71
10,2022-11-05 07:50,2022-11-05 07:51,Awake,71
10,2022-11-05 07:51,2022-11-05 07:57,Light,71
10,2022-11-05 07:57,2022-11-05 07:58,REM,71
10,2022-11-05 07:58,2022-11-05 07:59,Awake,71
10,2022-11-05 07:59,2022-11-05 08:15,Light,71
10,2022-11-05 08:15,2022-11-05 08:18,REM,71
